layer_00.k.bin,0,k,4096,0,64,2,130.500000,18253.423828,0.069631
layer_00.k.bin,0,k,4096,1,64,2,125.375000,18771.361328,0.071607
layer_00.v.bin,0,v,4096,0,64,2,0.247681,0.021143,0.000000
layer_00.v.bin,0,v,4096,1,64,2,0.189941,0.009915,0.000000
layer_01.k.bin,1,k,4096,0,64,2,19.906250,285.264313,0.001088
layer_01.k.bin,1,k,4096,1,64,2,150.375000,28671.224609,0.109372
layer_01.v.bin,1,v,4096,0,64,2,1.733398,0.616722,0.000002
layer_01.v.bin,1,v,4096,1,64,2,3.085938,6.834853,0.000026
layer_02.k.bin,2,k,4096,0,64,2,40.562500,1672.790894,0.006381
layer_02.k.bin,2,k,4096,1,64,2,63.125000,4387.824707,0.016738
layer_02.v.bin,2,v,4096,0,64,2,2.433594,1.776638,0.000007
layer_02.v.bin,2,v,4096,1,64,2,2.386719,1.623223,0.000006
layer_03.k.bin,3,k,4096,0,64,2,15.523438,130.958679,0.000500
layer_03.k.bin,3,k,4096,1,64,2,26.703125,600.386597,0.002290
layer_03.v.bin,3,v,4096,0,64,2,3.277344,6.562338,0.000025
layer_03.v.bin,3,v,4096,1,64,2,4.125000,2.788891,0.000011
layer_04.k.bin,4,k,4096,0,64,2,16.468750,217.399536,0.000829
layer_04.k.bin,4,k,4096,1,64,2,20.109375,352.163910,0.001343
layer_04.v.bin,4,v,4096,0,64,2,3.052734,2.887569,0.000011
layer_04.v.bin,4,v,4096,1,64,2,4.292969,2.951747,0.000011
layer_05.k.bin,5,k,4096,0,64,2,14.195312,111.121223,0.000424
layer_05.k.bin,5,k,4096,1,64,2,11.578125,79.757881,0.000304
layer_05.v.bin,5,v,4096,0,64,2,4.628906,3.807097,0.000015
layer_05.v.bin,5,v,4096,1,64,2,3.367188,2.604686,0.000010
layer_06.k.bin,6,k,4096,0,64,2,9.023438,21.964781,0.000084
layer_06.k.bin,6,k,4096,1,64,2,11.656250,87.336586,0.000333
layer_06.v.bin,6,v,4096,0,64,2,2.716797,2.263618,0.000009
layer_06.v.bin,6,v,4096,1,64,2,3.601562,4.530190,0.000017
layer_07.k.bin,7,k,4096,0,64,2,14.234375,169.975220,0.000648
layer_07.k.bin,7,k,4096,1,64,2,10.070312,49.127888,0.000187
layer_07.v.bin,7,v,4096,0,64,2,4.734375,4.625559,0.000018
layer_07.v.bin,7,v,4096,1,64,2,4.414062,7.094192,0.000027
layer_08.k.bin,8,k,4096,0,64,2,220.750000,61083.363281,0.233015
layer_08.k.bin,8,k,4096,1,64,2,10.734375,45.598469,0.000174
layer_08.v.bin,8,v,4096,0,64,2,2.777344,2.480619,0.000009
layer_08.v.bin,8,v,4096,1,64,2,4.476562,5.406320,0.000021
layer_09.k.bin,9,k,4096,0,64,2,15.007812,165.859589,0.000633
layer_09.k.bin,9,k,4096,1,64,2,15.992188,94.929253,0.000362
layer_09.v.bin,9,v,4096,0,64,2,4.792969,6.021824,0.000023
layer_09.v.bin,9,v,4096,1,64,2,5.367188,12.265409,0.000047
layer_10.k.bin,10,k,4096,0,64,2,10.703125,86.283943,0.000329
layer_10.k.bin,10,k,4096,1,64,2,16.484375,159.888290,0.000610
layer_10.v.bin,10,v,4096,0,64,2,4.648438,6.131958,0.000023
layer_10.v.bin,10,v,4096,1,64,2,4.773438,4.812302,0.000018
layer_11.k.bin,11,k,4096,0,64,2,11.531250,80.522949,0.000307
layer_11.k.bin,11,k,4096,1,64,2,17.062500,106.122551,0.000405
layer_11.v.bin,11,v,4096,0,64,2,5.210938,6.093822,0.000023
layer_11.v.bin,11,v,4096,1,64,2,8.281250,14.806412,0.000056
layer_12.k.bin,12,k,4096,0,64,2,10.984375,49.371090,0.000188
layer_12.k.bin,12,k,4096,1,64,2,11.765625,86.643326,0.000331
layer_12.v.bin,12,v,4096,0,64,2,5.593750,4.744143,0.000018
layer_12.v.bin,12,v,4096,1,64,2,3.943359,5.331007,0.000020
layer_13.k.bin,13,k,4096,0,64,2,10.859375,56.606651,0.000216
layer_13.k.bin,13,k,4096,1,64,2,11.242188,59.690849,0.000228
layer_13.v.bin,13,v,4096,0,64,2,4.148438,4.629200,0.000018
layer_13.v.bin,13,v,4096,1,64,2,3.974609,5.616307,0.000021
layer_14.k.bin,14,k,4096,0,64,2,14.796875,150.468018,0.000574
layer_14.k.bin,14,k,4096,1,64,2,12.367188,78.983917,0.000301
layer_14.v.bin,14,v,4096,0,64,2,4.312500,3.927625,0.000015
layer_14.v.bin,14,v,4096,1,64,2,4.882812,6.725435,0.000026
layer_15.k.bin,15,k,4096,0,64,2,13.335938,116.281303,0.000444
layer_15.k.bin,15,k,4096,1,64,2,11.726562,65.870491,0.000251
layer_15.v.bin,15,v,4096,0,64,2,4.875000,6.948437,0.000027
layer_15.v.bin,15,v,4096,1,64,2,4.667969,6.003250,0.000023
layer_16.k.bin,16,k,4096,0,64,2,14.515625,74.640694,0.000285
layer_16.k.bin,16,k,4096,1,64,2,12.375000,70.600128,0.000269
layer_16.v.bin,16,v,4096,0,64,2,5.292969,6.568650,0.000025
layer_16.v.bin,16,v,4096,1,64,2,5.562500,7.812402,0.000030
layer_17.k.bin,17,k,4096,0,64,2,10.859375,59.913124,0.000229
layer_17.k.bin,17,k,4096,1,64,2,13.078125,100.301811,0.000383
layer_17.v.bin,17,v,4096,0,64,2,4.667969,17.180882,0.000066
layer_17.v.bin,17,v,4096,1,64,2,7.359375,11.098883,0.000042
layer_18.k.bin,18,k,4096,0,64,2,9.835938,58.890209,0.000225
layer_18.k.bin,18,k,4096,1,64,2,15.015625,103.156929,0.000394
layer_18.v.bin,18,v,4096,0,64,2,6.277344,11.490594,0.000044
layer_18.v.bin,18,v,4096,1,64,2,4.914062,4.939715,0.000019
layer_19.k.bin,19,k,4096,0,64,2,15.179688,121.475311,0.000463
layer_19.k.bin,19,k,4096,1,64,2,12.687500,129.720810,0.000495
layer_19.v.bin,19,v,4096,0,64,2,6.156250,8.124794,0.000031
layer_19.v.bin,19,v,4096,1,64,2,4.914062,7.533229,0.000029
layer_20.k.bin,20,k,4096,0,64,2,15.796875,130.993256,0.000500
layer_20.k.bin,20,k,4096,1,64,2,11.851562,78.868553,0.000301
layer_20.v.bin,20,v,4096,0,64,2,5.437500,7.040632,0.000027
layer_20.v.bin,20,v,4096,1,64,2,12.625000,56.068401,0.000214
layer_21.k.bin,21,k,4096,0,64,2,16.562500,86.065979,0.000328
layer_21.k.bin,21,k,4096,1,64,2,11.945312,68.318962,0.000261
layer_21.v.bin,21,v,4096,0,64,2,13.351562,100.179008,0.000382
layer_21.v.bin,21,v,4096,1,64,2,13.476562,29.213051,0.000111
layer_22.k.bin,22,k,4096,0,64,2,11.304688,53.397736,0.000204
layer_22.k.bin,22,k,4096,1,64,2,12.101562,49.142399,0.000187
layer_22.v.bin,22,v,4096,0,64,2,17.578125,32.612461,0.000124
layer_22.v.bin,22,v,4096,1,64,2,13.851562,29.695093,0.000113
layer_23.k.bin,23,k,4096,0,64,2,14.109375,98.061394,0.000374
layer_23.k.bin,23,k,4096,1,64,2,11.578125,43.208294,0.000165
layer_23.v.bin,23,v,4096,0,64,2,13.140625,27.097290,0.000103
layer_23.v.bin,23,v,4096,1,64,2,13.976562,25.752630,0.000098
